exportVersion,rowType,curriculumId,curriculumName,courseCode,courseName,lectureHours,laboratoryHours,units,yearLevel,semester,isElective,minYearStandingRequired,relatedCourseCode,trackName,notes
1,prerequisite,,BSARCH Curriculum 2023,AR 591B,Specialization 2: Urban Design Studio,,,3,,,false,,AR 492B,,
1,prerequisite,,BSARCH Curriculum 2023,AR 591B,Specialization 2: Urban Design Studio,,,3,,,false,,ARSC 443,,
1,prerequisite,,BSARCH Curriculum 2023,AR 592B,Specialization 3: Special Problems for Urban and Regional Planning,,,3,,,false,,AR 591B,,
1,prerequisite,,BSARCH Curriculum 2023,AR 492C,Specialization 1: Introduction to Architectural Heritage Conservation,,,3,,,false,,AR 401,,
1,prerequisite,,BSARCH Curriculum 2023,AR 591C,Specialization 2: Heritage Conservation Techniques and Materials,,,3,,,false,,AR 492C,,
1,prerequisite,,BSARCH Curriculum 2023,AR 591C,Specialization 2: Heritage Conservation Techniques and Materials,,,3,,,false,,ARSC 443,,
1,prerequisite,,BSARCH Curriculum 2023,AR 592C,Specialization 3: Heritage Conservation Management Planning,,,3,,,false,,AR 591C,,
1,prerequisite,,BSARCH Curriculum 2023,QS 001,Design Economics and Cost Planning,,,3,,,false,,AR 322,,
1,prerequisite,,BSARCH Curriculum 2023,QS 001,Design Economics and Cost Planning,,,3,,,false,,AR 401,,
1,prerequisite,,BSARCH Curriculum 2023,QS 003,Procurement and Tendering in Construction,,,3,,,false,,QS 001,,
1,prerequisite,,BSARCH Curriculum 2023,QS 003,Procurement and Tendering in Construction,,,3,,,false,,ARSC 443,,
1,prerequisite,,BSARCH Curriculum 2023,QS 004,Contract Practice and Administration Including Cost Reporting,,,3,,,false,,QS 003,,
